id,lastname,firstname,middlename,birthday,card_id
47,Фомичева,Галина,Валерианович,1945-03-08,Канада
48,Миронова,Евстафий,Даниловна,1935-10-01,Босния и Герцеговина
49,Кулаков,Фаина,Геннадьевна,1955-10-18,Буркина-Фасо
50,Блинова,Измаил,Болеславовна,1973-10-02,Соломоновы Острова
51,Сидоров,Серафим,Данилович,1987-02-12,Нидерланды
52,Наумов,Егор,Борисович,1908-12-20,Туркмения
53,Зуев,Потап,Евгеньевна,1999-02-02,Туркмения
54,Копылова,Август,Игоревич,1962-04-18,Россия
55,Копылов,Аскольд,Федоровна,1946-12-24,Габон
56,Тарасова,Клавдий,Олеговна,1982-02-03,Либерия
57,Михеева,София,Игнатьевич,1980-11-02,Исландия
58,Сергеева,Владислав,Глебович,2018-07-25,Кипр
59,Селиверстов,Галактион,Фадеевич,1941-03-21,Литва
60,Гордеева,Аркадий,Ефимьевич,1910-02-15,ОАЭ
61,Горбачев,Дмитрий,Иосифович,1993-07-21,Гвинея
62,Смирнова,Прокл,Яковлевна,1936-04-13,Сьерра-Леоне
63,Ильин,Филарет,Аксёнович,1999-06-10,Камерун
64,Гусева,Сергей,Валерьянович,1996-04-04,Республика Корея
65,Кириллова,Якуб,Вадимовна,1996-09-30,Республика Конго
66,Гаврилов,Феоктист,Августович,2009-04-29,Чехия
67,Филиппова,Лонгин,Жоресович,1960-10-10,США
68,Рябов,Борис,Тимофеевна,1962-10-06,Парагвай
69,Кошелев,Надежда,Артемовна,1953-09-04,Грузия
70,Владимирова,Климент,Юлианович,1923-07-24,Сальвадор
71,Крюков,Арсений,Артемьевич,1941-01-28,Венесуэла
72,Емельянова,Никифор,Яковлевич,1997-03-06,Португалия
73,Кондратьев,Анжелика,Викторовна,1933-12-29,ОАЭ
74,Турова,Эдуард,Антоновна,1923-11-03,Фиджи
75,Гущина,Сидор,Никифоровна,1977-03-07,Люксембург
76,Игнатов,Агафон,Харлампович,1989-12-19,Танзания
77,Чернов,Станимир,Анатольевна,1960-07-29,Андорра
78,Федосеева,Осип,Харлампович,2017-02-19,Лихтенштейн
79,Соболева,Никанор,Бориславович,1977-07-27,Демократическая Республика Конго
80,Фомина,Евфросиния,Романовна,1958-03-14,Вьетнам
81,Суханова,Корнил,Ефстафьевич,1918-10-08,Малайзия
82,Капустина,Тихон,Анатольевич,1967-11-02,Республика Конго
83,Юдин,Алла,Владимировна,1920-07-15,Норвегия
84,Кабанова,Орест,Герасимович,2001-11-07,Чехия
85,Корнилов,Селиверст,Марсович,1929-10-23,Палау
86,Савельева,Галактион,Филиппович,1966-08-06,Белоруссия
87,Игнатова,Синклитикия,Семеновна,1909-04-02,Венгрия
88,Котов,Андрей,Исидорович,1965-01-16,Мальдивы
89,Мухин,Всеволод,Натановна,2015-02-27,Египет
90,Мясников,Никифор,Оскаровна,1919-09-17,Латвия
91,Котов,Лаврентий,Кузьминична,1969-09-11,Сент-Китс и Невис
92,Громова,Милан,Яковлевна,2002-01-25,Кувейт
93,Колобов,Мина,Константиновна,1978-05-14,Шри-Ланка
94,Большакова,Маргарита,Измаилович,1987-03-08,Мали
95,Борисова,Трифон,Захарьевич,1961-07-01,Таджикистан
96,Козлов,Станислав,Елисеевич,1983-10-03,Экваториальная Гвинея
97,Петухов,Пелагея,Леоновна,1986-05-28,Филиппины
98,Дьячков,Эмиль,Артурович,1990-01-18,Чили
99,Богданов,Радислав,Ярославович,2005-08-14,Ангола
100,Русакова,Илья,Тихонович,1942-09-20,Чили
101,Гурьев,Наркис,Филимонович,2008-03-25,Мальдивы
102,Зуева,Феофан,Ермилович,1951-03-24,Мавритания
103,Романов,Ираклий,Федоровна,1911-05-27,Испания
104,Евсеев,Вадим,Валентинович,2000-01-30,Кения
105,Гурьева,Фома,Алексеевна,1955-08-28,Буркина-Фасо
106,Владимиров,Виссарион,Анатольевич,1953-01-01,Гаити
107,Сорокин,Милица,Дмитриевич,1926-01-14,Нигерия
108,Жуков,Викторин,Болеславовна,1985-02-26,Ангола
109,Михайлов,Силантий,Тарасович,1957-04-14,Индия
110,Зайцева,Эдуард,Андреевич,1940-03-09,Уганда
111,Наумова,Селиверст,Феоктистович,1968-02-14,Сан-Марино
112,Савина,Демьян,Ефстафьевич,1933-12-18,Коста-Рика
113,Артемьев,Ратибор,Марсович,1938-09-06,Андорра
114,Капустина,Мария,Ефремович,2001-09-23,Того
115,Козлова,Юлия,Аксёнович,1930-03-27,Лаос
116,Горбунов,Радован,Николаевна,1987-12-16,ЮАР
117,Петров,Лука,Дмитриевич,1934-03-12,Филиппины
118,Куликов,Анатолий,Георгиевич,1999-11-18,Федеративные Штаты Микронезии
119,Ковалева,Лукьян,Матвеевич,1958-05-17,Польша
120,Зуев,Ипат,Афанасьевна,1933-07-07,Кирибати
121,Журавлева,Панкратий,Егорович,2017-03-25,Черногория
122,Кононова,Сигизмунд,Глебович,1979-11-28,ЮАР
123,Назаров,Любовь,Тихонович,1928-03-06,Израиль
124,Григорьев,Исидор,Давыдович,1916-05-15,Исландия
125,Миронов,Владлен,Леоновна,2004-01-25,Бенин
126,Бирюков,Аггей,Юльевна,2001-04-04,Мексика
127,Гришина,Василиса,Эльдаровна,1932-08-09,Северная Македония
128,Якушева,Евсей,Леонидовна,1980-07-27,Бангладеш
129,Фролов,Елисей,Альбертовна,1986-01-01,Португалия
130,Воронов,Исай,Кузьминична,1951-10-15,Бахрейн
131,Анисимова,Харитон,Ефимовна,1919-04-03,Канада
132,Воронова,Владислав,Дмитриевна,1913-09-27,ОАЭ
133,Панова,Нинель,Юльевна,1941-06-13,Ангола
134,Тетерина,Ермолай,Богданович,1993-01-28,Республика Корея
135,Медведев,Пров,Кирилловна,1908-08-02,Катар
136,Денисова,Лидия,Сергеевна,1942-01-25,Бразилия
137,Доронина,Мирон,Владиленович,1924-09-07,Ирландия
138,Константинова,Всеслав,Тихонович,2002-08-13,Бурунди
139,Крылова,Раиса,Валериевна,2014-07-16,Демократическая Республика Конго
140,Цветкова,Никон,Егорович,1989-08-08,Словения
141,Исаева,Зиновий,Ааронович,1919-04-21,Россия
142,Горбачев,Вера,Герасимович,2009-01-07,Кения
143,Меркушев,Вышеслав,Адрианович,2001-03-02,Сирия
144,Родионова,Святослав,Харитоновна,1969-05-16,Сальвадор
145,Игнатьев,Феофан,Кирилловна,2015-07-31,Мадагаскар
146,Давыдов,Влас,Ярославович,1948-08-14,Чад
147,Воронова,Станимир,Афанасьевич,1993-11-01,Тринидад и Тобаго
148,Кошелев,Афиноген,Альбертовна,1929-01-22,Сент-Винсент и Гренадины
149,Дементьев,Галина,Изотович,1920-01-15,Пакистан
150,Зайцев,Потап,Викторовна,1986-06-16,Сенегал
151,Уварова,Никита,Валерьянович,2001-10-26,Никарагуа
152,Фокин,Евстафий,Владиленович,2009-03-25,Ирак
153,Мухина,Азарий,Захарьевич,1923-10-08,Тринидад и Тобаго
154,Большакова,Ким,Ефимьевич,1962-07-28,Грузия
155,Одинцова,Прокофий,Феликсович,1944-07-22,Сейшельские Острова
156,Сазонов,Эмиль,Вячеславовна,1961-07-21,Черногория
157,Громов,Эмилия,Богданович,1907-04-10,Сербия
158,Щербаков,Софон,Аверьянович,1994-01-04,Эквадор
159,Федосеев,Алла,Власович,2018-03-26,Доминика
160,Соболева,Чеслав,Аксёнович,1976-07-14,Камерун
161,Новикова,Корнил,Рудольфовна,2015-06-12,Турция
162,Блохина,Савва,Глебович,1935-06-21,Бразилия
163,Дроздов,Панкрат,Эдгардович,1916-10-18,Кот-д’Ивуар
164,Мартынова,Творимир,Елизарович,1953-06-19,Турция
165,Гущина,Мариан,Венедиктович,2011-05-12,Андорра
166,Ершов,Юлий,Максимовна,1930-05-04,Монако
167,Вишняков,Серафим,Филипповна,2002-09-03,Белиз
168,Колесникова,Лавр,Гордеевич,1973-11-07,Латвия
169,Быкова,Пелагея,Адрианович,1913-05-11,Бурунди
170,Федосеев,Ульян,Максимовна,1949-01-06,Маврикий
171,Федорова,Игнатий,Афанасьевна,1976-08-08,Узбекистан
172,Ковалева,Ипатий,Исидорович,1977-10-03,Израиль
173,Анисимов,Викторин,Владиленович,1972-04-18,Гвинея-Бисау
174,Иванова,Леонид,Ивановна,1945-03-05,Палау
175,Петухова,Олег,Васильевич,1924-08-08,Австралия
176,Авдеев,Денис,Харлампьевич,2022-05-26,Ирак
177,Белова,Роман,Еремеевич,1974-11-24,Науру
178,Фадеева,Вацлав,Кирилловна,2017-01-16,Экваториальная Гвинея
179,Давыдов,Фирс,Тимурович,2014-07-01,Гватемала
180,Логинова,Ермил,Геннадиевна,1995-07-15,Сербия
181,Суворова,Виссарион,Макаровна,1910-12-25,Киргизия
182,Буров,Тимофей,Ярославович,1923-06-24,Португалия
183,Сазонов,Александр,Всеволодович,2000-11-23,Армения
184,Богданов,Сократ,Наумовна,1986-08-25,Республика Корея
185,Капустина,Пелагея,Даниилович,1929-01-25,Мексика
186,Тимофеева,Филимон,Елисеевич,1985-01-27,Нидерланды
187,Русаков,Ксения,Викторович,1912-03-01,Габон
188,Игнатьев,Януарий,Дорофеевич,1973-12-08,Уругвай
189,Галкин,Денис,Рубеновна,2000-02-21,Федеративные Штаты Микронезии
190,Суханов,Дементий,Леонидовна,1963-01-22,Сенегал
191,Рябова,Мариан,Алексеевна,1978-08-02,Республика Конго
192,Агафонов,Лариса,Гаврилович,1914-03-15,Малайзия
193,Ермаков,Антип,Феодосьевич,1988-09-27,Барбадос
194,Владимирова,Карл,Евгеньевна,1993-03-07,Маврикий
195,Волкова,Ерофей,Гавриилович,1910-07-31,Афганистан
196,Зиновьев,Ермил,Яковлевич,2009-07-26,Тунис
197,Туров,Всеволод,Святославовна,1936-05-08,Маршалловы Острова
198,Кошелева,Юлиан,Афанасьевна,1954-04-03,Сейшельские Острова
199,Фомичев,Александра,Сергеевна,1960-08-18,Лаос
200,Смирнова,Лаврентий,Ермилович,2005-11-01,Бурунди
201,Никонов,Фотий,Ярославович,2009-08-21,Коморы
202,Силина,Лариса,Иосипович,1945-07-31,Литва
203,Мясникова,Любим,Рудольфовна,1973-07-25,Бурунди
204,Третьякова,Бронислав,Феликсович,1910-01-06,Румыния
205,Соловьев,Аверьян,Романовна,1978-04-26,Иордания
206,Тихонов,Артемий,Федотович,1988-03-22,Ямайка
207,Миронов,Надежда,Руслановна,1923-02-26,Зимбабве
208,Савина,Фотий,Леоновна,1974-12-18,Португалия
209,Колобов,Яков,Аскольдовна,2004-12-14,Вануату
210,Попова,Эммануил,Еремеевич,1986-09-10,Израиль
211,Носова,Евстигней,Фролович,1961-05-13,Египет
212,Ефремова,Влас,Викентьевич,1907-01-19,Литва
213,Симонов,Касьян,Андреевич,1977-08-21,Киргизия
214,Кулагин,Галактион,Тихонович,1978-09-07,Уганда
215,Галкина,Вышеслав,Макаровна,2003-12-31,Албания
216,Жуков,Наталья,Ермилович,2017-04-11,Того
217,Бобылев,Феликс,Вадимовна,2018-07-12,Сан-Марино
218,Павлова,Ян,Альбертовна,1915-03-13,Гвинея
219,Селезнева,Август,Робертовна,1965-05-26,Буркина-Фасо
220,Горшкова,Иннокентий,Александровна,1970-08-29,Мали
221,Комиссаров,Карл,Филатович,1958-02-11,Япония
222,Самсонов,Корнил,Давидович,1933-02-01,Судан
223,Суворов,Варвара,Кузьминична,1940-01-13,Камбоджа
224,Нестеров,Родион,Тарасовна,1969-09-30,Экваториальная Гвинея
225,Александрова,Галактион,Юльевич,2003-10-22,Кот-д’Ивуар
226,Якушев,Ким,Яковлевич,2005-11-15,Эстония
227,Коновалов,Рубен,Фролович,1979-06-29,Восточный Тимор
228,Осипов,Василий,Дорофеевич,1979-07-01,Оман
229,Киселев,Лора,Аксёнович,1958-04-22,Польша
230,Куликов,Зосима,Герасимович,2007-04-13,Сьерра-Леоне
231,Селезнева,Вероника,Артемовна,1994-02-07,Того
232,Абрамова,Фадей,Брониславович,1987-09-06,Оман
233,Симонов,Антонин,Валерианович,1959-02-07,Эквадор
234,Капустина,Панкрат,Анатольевич,1984-03-31,Коморы
235,Комарова,Трофим,Алексеевна,1940-04-26,Парагвай
236,Цветков,Ульян,Антипович,2015-09-30,Пакистан
237,Агафонова,Кира,Кузьминична,1996-03-20,Уганда
238,Павлова,Василиса,Васильевич,1958-01-01,Швеция
239,Гаврилов,Митофан,Витальевич,1907-01-26,Марокко
240,Зимин,Сила,Георгиевич,1986-12-16,Сирия
241,Александрова,Фадей,Эльдаровна,1969-08-06,Люксембург
242,Потапова,Олимпий,Филатович,1953-08-23,Маврикий
243,Одинцов,Прокофий,Григорьевна,1940-01-28,Чад
244,Агафонова,Ираида,Тимурович,1926-08-15,Исландия
245,Субботин,Зинаида,Болеславовна,1938-03-18,Кот-д’Ивуар
246,Симонова,Орест,Константиновна,1963-07-23,Эфиопия
247,Панфилов,Зосима,Денисович,1936-09-29,Израиль
248,Зиновьев,Ратибор,Владиленович,1913-06-30,Тунис
249,Гурьева,Николай,Андреевна,2017-04-28,Коморы
250,Вишняков,Ермил,Вячеславович,1965-11-12,Эритрея
251,Субботин,Таисия,Евстигнеевич,1941-01-30,Греция
252,Калинин,Евфросиния,Степановна,1956-08-09,Бурунди
253,Игнатов,Михаил,Евстигнеевич,1923-09-15,Кувейт
254,Меркушев,Иосиф,Артемьевич,1944-10-27,Вануату
255,Беляков,Майя,Феликсовна,1945-12-01,Люксембург
256,Шилова,Гостомысл,Константиновна,1966-03-08,Куба
257,Бирюков,Иннокентий,Борисович,1940-01-20,Египет
258,Егорова,Фома,Анисимович,1977-05-04,Куба
259,Андреева,Ратибор,Витальевич,2003-02-05,Сенегал
260,Логинов,Кир,Леоновна,2007-05-06,Колумбия
261,Антонов,Регина,Измаилович,1951-10-01,Маршалловы Острова
262,Вишняков,Надежда,Ермилович,1978-06-16,Либерия
263,Комарова,Михей,Валериевна,1989-12-23,Ливан
264,Ширяева,Владлен,Власович,1972-12-30,Бангладеш
265,Исаев,Ерофей,Харлампьевич,1928-06-20,Мали
266,Кудряшова,Сократ,Святославовна,1946-08-18,Гамбия
267,Колобова,Дементий,Феодосьевич,1913-01-11,Кабо-Верде
268,Дмитриев,Пелагея,Антипович,2004-11-22,Кабо-Верде
269,Орехов,Аполлинарий,Александровна,1997-03-26,Испания
270,Казаков,София,Семеновна,1998-05-12,Мальта
271,Красильников,Артем,Иосифович,1971-06-19,Индия
272,Захаров,Алевтина,Тарасовна,2008-03-14,Сенегал
273,Мишин,Фока,Харламович,1973-12-03,Япония
274,Голубев,Болеслав,Жоресович,1988-12-21,Кувейт
275,Коновалов,Борислав,Григорьевна,1937-09-25,Куба
276,Гришина,Тимур,Мироновна,1961-06-16,Колумбия
277,Мишина,Сократ,Леоновна,1925-08-27,Черногория
278,Соколова,Иосиф,Мироновна,1930-12-01,Нидерланды
279,Ларионова,Мир,Борисович,2013-08-17,Тонга
280,Пестова,Спартак,Анатольевич,1972-02-02,Бангладеш
281,Фомичева,Анна,Евгеньевна,1946-07-04,Канада
282,Новикова,Никита,Матвеевна,1918-09-22,Гаити
283,Комиссаров,Карп,Валентиновна,1994-07-23,Кения
284,Быков,Елизавета,Адамович,1951-06-03,Италия
285,Николаев,Иларион,Феофанович,1987-03-18,Шри-Ланка
286,Абрамова,Агап,Богдановна,1973-06-08,Польша
287,Третьяков,Милан,Рудольфовна,1908-09-20,Панама
288,Боброва,Капитон,Гавриилович,1907-08-11,ОАЭ
289,Гришина,Ладислав,Ануфриевич,2007-03-15,Сомали
290,Ильин,Кондрат,Фролович,1992-06-09,Лихтенштейн
291,Мартынов,Варлаам,Виленович,1906-11-25,Сейшельские Острова
292,Туров,Константин,Валериевна,2011-12-10,Венгрия
293,Комаров,Оксана,Фадеевич,1953-11-26,Тунис
294,Самойлов,Доброслав,Денисович,1909-06-09,Кувейт
295,Костина,Ферапонт,Ефимович,1934-04-10,Филиппины
296,Костин,Майя,Федотович,1922-08-03,Азербайджан
297,Воронов,Зосима,Венедиктович,1953-03-05,Италия
298,Быков,Мирослав,Андреевна,1972-10-06,ЮАР
299,Фомин,Ипатий,Борисовна,1938-05-19,Того
300,Яковлева,Евфросиния,Филипповна,1958-09-25,Кипр
301,Некрасов,Жанна,Адамович,1982-05-20,Барбадос
302,Андреева,Фома,Александрович,1991-09-26,Северная Македония
303,Комиссарова,Радим,Измаилович,1985-05-12,ОАЭ
304,Васильев,Родион,Владимировна,2004-05-25,Джибути
305,Павлова,Клавдий,Владиленович,1956-03-18,Гватемала
306,Крюкова,Порфирий,Устинович,1966-02-22,Уругвай
307,Зуев,Стоян,Данилович,2005-11-06,Ангола
308,Фокин,Ким,Владиславович,1949-09-26,Маршалловы Острова
309,Игнатьева,Панкратий,Марсович,1991-04-12,Малайзия
310,Егорова,Влас,Ефстафьевич,2010-02-18,Сент-Винсент и Гренадины
311,Стрелкова,Фока,Даниилович,1984-08-02,Марокко
312,Игнатова,Якуб,Гурьевич,1968-08-18,Намибия
313,Моисеева,Ювеналий,Федоровна,1991-08-08,Австралия
314,Елисеев,Ферапонт,Игоревич,2008-10-05,Эфиопия
315,Сазонова,Пантелеймон,Петровна,1997-07-28,Гайана
316,Кудрявцева,Мокей,Васильевна,1915-06-26,Барбадос
317,Муравьева,Ольга,Сергеевна,1977-03-23,Эфиопия
318,Фокин,Гордей,Якубович,1949-02-23,Словения
319,Доронина,Ангелина,Семеновна,1929-06-13,Таджикистан
320,Васильев,Станислав,Эльдаровна,2022-09-10,Мальта
321,Гордеев,Нонна,Владленович,1935-11-27,Вьетнам
322,Доронина,Измаил,Никифоровна,1977-03-08,Мексика
323,Игнатов,Валентина,Денисович,1952-10-03,Танзания
324,Кудрявцева,Аверьян,Гавриилович,1996-05-24,Норвегия
325,Мясникова,Радим,Дмитриевич,1955-11-15,Эсватини
326,Галкина,Панкратий,Тимофеевна,1981-02-25,Палау
327,Кузьмин,Карп,Данилович,1972-08-11,Бруней
328,Анисимова,Иннокентий,Львовна,1923-03-18,Нидерланды
329,Капустин,Семен,Георгиевич,1928-01-16,Сьерра-Леоне
330,Евдокимов,Епифан,Викторовна,1949-09-04,Новая Зеландия
331,Князева,Панкрат,Даниилович,1984-10-06,Камерун
332,Сергеева,Еремей,Петровна,1919-07-26,Марокко
333,Дорофеева,Анна,Никифоровна,2003-06-14,Люксембург
334,Уваров,Митофан,Владиленович,2015-09-04,Ливия
335,Громов,Симон,Вилорович,1925-11-11,Чили
336,Чернов,Фаина,Ниловна,1908-01-13,Испания
337,Борисова,Арефий,Ярославович,1918-09-30,Марокко
338,Родионов,Зосима,Гавриилович,1999-07-19,Афганистан
339,Карпов,Артем,Трофимович,1970-02-18,Доминиканская Республика
340,Киселев,Елизар,Игоревич,1973-08-18,Сербия
341,Никитин,Онуфрий,Вячеславович,1963-07-05,Нидерланды
342,Семенова,Леонтий,Гаврилович,2003-11-09,Чили
343,Белозерова,Федосий,Адрианович,2022-04-13,Эстония
344,Стрелков,Епифан,Эльдаровна,1986-04-17,Япония
345,Гущина,Фирс,Давидович,1933-06-27,Ботсвана
346,Зимина,Самуил,Елизарович,1963-10-01,Мали
347,Трофимов,Мир,Юрьевна,2021-03-30,Кирибати
348,Федотова,Любомир,Валентиновна,1920-05-16,Латвия
349,Селезнева,Самуил,Фомич,1982-05-05,Боливия
350,Нестерова,Будимир,Антипович,1987-06-12,Азербайджан
351,Воронцов,Владлен,Семеновна,1941-11-12,Исландия
352,Антонов,Варвара,Леонидовна,1931-11-12,Египет
353,Артемьев,Ксения,Глебович,1922-08-14,Антигуа и Барбуда
354,Гусев,Мария,Егоровна,2000-06-09,Сомали
355,Гаврилова,Ермил,Валентинович,1909-06-21,Кипр
356,Фролова,Юлий,Феликсовна,1961-12-30,Монголия
357,Юдин,Эммануил,Феликсович,2001-10-15,Великобритания
358,Горшков,Яков,Рудольфовна,1952-03-23,Палау
359,Алексеева,Всеслав,Данилович,1961-11-28,Парагвай
360,Сазонов,Прокофий,Юлианович,1952-05-04,Финляндия
361,Кабанова,Артемий,Яковлевич,1955-11-27,Джибути
362,Соловьева,Станимир,Геннадиевич,2003-12-02,Федеративные Штаты Микронезии
363,Аксенов,Велимир,Аркадьевна,2003-10-13,Бахрейн
364,Третьяков,Ярослав,Валерьянович,1932-09-08,Исландия
365,Гурьева,Самсон,Валентиновна,1984-12-17,Узбекистан
366,Белова,Захар,Теймуразович,1971-12-25,Эфиопия
367,Субботин,Иннокентий,Ермолаевич,1936-01-10,Зимбабве
368,Королев,Леон,Филимонович,1998-02-10,Судан
369,Гущин,Корнил,Теймуразович,1998-02-05,Сан-Томе и Принсипи
370,Крюкова,Валерьян,Харитонович,2006-10-25,Испания
371,Ефремов,Святополк,Эдгардович,1926-02-09,Франция
372,Бобров,Климент,Фомич,1999-06-27,Нигерия
373,Киселева,Януарий,Станиславовна,2002-11-03,Япония
374,Лебедева,Сильвестр,Сергеевна,1924-03-17,Камбоджа
375,Александров,Михаил,Тимурович,2003-01-25,Норвегия
376,Воронцова,Порфирий,Семеновна,1982-07-06,Непал
377,Алексеев,Добромысл,Олеговна,1951-04-26,Казахстан
378,Суворова,Владилен,Германович,1998-06-22,Аргентина
379,Филиппова,Терентий,Кузьминична,1909-02-01,Марокко
380,Иванова,Изот,Витальевич,2008-12-14,Сан-Марино
381,Сидорова,Федот,Григорьевна,1979-08-28,Черногория
382,Герасимова,Дарья,Давидович,1997-01-04,Сьерра-Леоне
383,Буров,Сидор,Богдановна,1978-02-14,Великобритания
384,Лапин,Кондратий,Иларионович,1970-08-16,Мавритания
385,Боброва,Синклитикия,Яковлевич,2000-06-17,Тонга
386,Щукин,Аристарх,Жоресович,1986-12-14,Канада
387,Третьяков,Наркис,Николаевна,2016-09-02,Алжир
388,Харитонова,Роман,Вячеславович,1953-04-23,Германия
389,Гордеева,Оксана,Захаровна,1986-04-13,Бенин
390,Соболев,Серафим,Анатольевна,1993-12-17,Эсватини
391,Зуев,Пантелеймон,Тарасовна,1990-08-28,Ботсвана
392,Кабанов,Болеслав,Анатольевна,1910-07-21,Латвия
393,Лыткин,Сигизмунд,Гертрудович,1992-03-06,Греция
394,Никифорова,Дмитрий,Вячеславовна,1983-05-03,Черногория
395,Кононов,Никон,Исидорович,1968-03-20,Мексика
396,Вишнякова,Аггей,Афанасьевич,1975-07-02,Мьянма
397,Борисова,Кондрат,Жанович,1957-05-20,Польша
398,Ефремов,Наина,Жоресович,2000-02-16,Эстония
399,Шестакова,Агафья,Трофимович,1971-08-28,Россия
400,Калашников,Остромир,Руслановна,1909-08-26,Мозамбик
401,Никифорова,Святослав,Валерьевич,1995-03-08,Руанда
402,Дмитриев,Епифан,Рудольфовна,2005-07-16,Словакия
403,Прохорова,Феврония,Феодосьевич,1956-10-11,Гвинея-Бисау
404,Афанасьева,Максим,Бориславович,1908-11-07,Замбия
405,Романов,Феврония,Арсеньевич,1928-08-05,КНДР
406,Елисеева,Ипполит,Богдановна,1958-03-19,Эквадор
407,Ермакова,Пахом,Венедиктович,1981-04-30,Венгрия
408,Лаврентьев,Антонин,Харлампьевич,1992-04-12,Буркина-Фасо
409,Федорова,Ким,Даниилович,1997-09-09,Ботсвана
410,Максимова,Сильвестр,Гаврилович,1916-05-20,Болгария
411,Симонов,Никандр,Федосеевич,1952-01-04,Сербия
412,Шаров,Наркис,Бориславович,1932-06-01,Австрия
413,Мельников,Авдей,Захаровна,2011-11-05,Либерия
414,Соловьева,Аверьян,Бориславович,1919-07-09,Чили
415,Потапов,Гордей,Ильич,1978-10-06,Шри-Ланка
416,Андреев,Галактион,Якубович,1986-04-26,Франция
417,Королева,Анисим,Измаилович,1926-03-28,Боливия
418,Селезнева,Мартын,Гертрудович,1939-08-25,Андорра
419,Денисова,Самсон,Алексеевна,1917-07-07,Иордания
420,Шарапова,Устин,Федосьевич,1925-03-20,Казахстан
421,Дьячков,Аверьян,Аскольдовна,2011-05-26,Коморы
422,Крылов,Ипполит,Борисовна,2010-06-07,Австрия
423,Шестакова,Сергей,Брониславович,1918-12-03,Таджикистан
424,Лаврентьева,Иларион,Брониславович,1996-11-25,Тунис
425,Козлова,Регина,Богдановна,1982-03-11,Панама
426,Шашкова,Борислав,Игоревич,1976-11-03,США
427,Алексеева,Григорий,Львовна,1934-12-10,Науру
428,Рогова,Ангелина,Владленович,1965-05-14,Соломоновы Острова
429,Осипов,Кузьма,Ярославович,1992-05-18,Бразилия
430,Коновалова,Данила,Ерофеевич,1997-06-19,Восточный Тимор
431,Суворов,Дементий,Анисимович,1984-09-14,Танзания
432,Александрова,Лев,Игнатьевич,1989-12-07,Науру
433,Дроздова,Екатерина,Даниилович,2004-07-03,Папуа
434,Николаев,Любим,Михайловна,1944-11-23,Малави
435,Попов,Ким,Васильевна,1987-01-18,Норвегия
