id,lastname,firstname,middlename,birthday,country
40,Ковалева,Ефрем,Викентьевич,1913-07-04,Сербия
41,Киселева,Виссарион,Иосифович,2001-02-02,Танзания
42,Ермаков,Николай,Богданович,1932-09-01,Вануату
43,Васильев,Елисей,Брониславович,1994-01-06,Гаити
44,Потапова,Виссарион,Евгеньевна,1931-08-07,Багамские Острова
45,Ершов,Станимир,Игоревна,1923-10-15,Нигер
46,Гордеева,Осип,Натановна,1939-06-29,Китай
47,Иванова,Ирина,Семеновна,1934-02-19,Фиджи
48,Третьякова,Викентий,Валентинович,2004-05-04,Мальдивы
49,Лаврентьев,Макар,Августович,1951-01-27,Ботсвана
50,Михайлова,Мариан,Абрамович,1988-09-24,Мьянма
51,Миронова,Тит,Юльевич,1995-01-13,Албания
52,Колобов,Вера,Иосипович,1953-11-25,Мальта
53,Романова,Афанасий,Харламович,1961-01-23,Мальдивы
54,Фадеев,Анна,Кирилловна,2002-06-20,Гватемала
55,Лукин,Лаврентий,Ааронович,1947-04-08,Тринидад и Тобаго
56,Комиссаров,Фадей,Афанасьевна,2000-12-04,Демократическая Республика Конго
57,Дроздов,Эмилия,Игоревич,1983-01-22,Вануату
58,Кондратьева,Иларион,Матвеевич,2000-03-31,Лаос
59,Вишняков,Тимур,Еремеевич,1934-05-19,Ирландия
60,Полякова,Амос,Анисимович,1966-07-16,Республика Корея
61,Воронцов,Лукьян,Исидорович,1916-07-22,Лесото
62,Копылова,Ипатий,Рубеновна,2016-05-25,Лаос
63,Авдеев,Кузьма,Федотович,2006-10-11,Мозамбик
64,Суханов,Федот,Ильинична,1982-07-27,Черногория
65,Ершова,Юлия,Харламович,1925-01-11,Габон
66,Игнатов,Фока,Викторович,2013-12-31,Финляндия
67,Фомин,Прасковья,Вячеславович,2018-04-18,Гондурас
68,Медведева,Валерия,Федосьевич,1992-09-04,Центральноафриканская Республика
69,Громова,Тихон,Валерьевич,1949-09-22,Парагвай
70,Белоусова,Прокофий,Дмитриевна,1991-04-25,Исландия
71,Иванов,Глафира,Валериевна,1929-06-02,Венесуэла
72,Мясникова,Юрий,Георгиевна,1996-07-17,Гайана
73,Терентьева,Вероника,Давыдович,1911-11-03,Тринидад и Тобаго
74,Мясникова,Клавдий,Теймуразович,1995-05-23,Либерия
75,Антонов,Фёкла,Владиславович,2020-12-17,Саудовская Аравия
76,Дорофеев,Макар,Афанасьевич,1959-06-26,Мавритания
77,Белозерова,Панкратий,Матвеевич,2020-01-30,Вьетнам
78,Муравьева,Эмиль,Феофанович,1911-09-26,Киргизия
79,Зиновьев,Орест,Евсеевич,1972-08-28,Гватемала
80,Соловьев,Анжела,Георгиевна,1986-11-26,Афганистан
81,Гаврилова,Захар,Филатович,1953-11-07,Кувейт
82,Костин,Лукьян,Иосипович,1931-12-15,Катар
83,Блохин,Арсений,Демидович,2006-07-16,Тринидад и Тобаго
84,Лихачева,Наркис,Фёдорович,1928-09-25,Гаити
85,Борисов,Антонин,Владиленович,2018-08-26,Никарагуа
86,Калинина,Елена,Валерианович,1959-03-26,Зимбабве
87,Агафонова,Владимир,Димитриевич,1911-12-26,Германия
88,Юдина,Лучезар,Анатольевна,1985-01-18,Латвия
89,Кириллова,Анжела,Кирилловна,2000-08-17,Таджикистан
90,Никонов,Станимир,Матвеевна,1928-06-09,Вьетнам
91,Анисимова,Фёкла,Яковлевич,2022-06-14,Никарагуа
92,Корнилов,Наталья,Ефимович,1957-12-02,Новая Зеландия
93,Степанов,Илья,Харлампович,2010-10-07,Казахстан
94,Одинцова,Афанасий,Фролович,2004-06-02,Кипр
95,Шестакова,Велимир,Давидович,2004-01-12,Таиланд
96,Зайцева,Тихон,Елизарович,1949-01-06,Исландия
97,Сорокина,Валентин,Сергеевна,2004-06-18,Демократическая Республика Конго
98,Беляев,Пелагея,Святославовна,1989-09-30,Мозамбик
99,Елисеев,Юрий,Тарасовна,1928-01-10,Мьянма
100,Турова,Иннокентий,Оскаровна,1923-12-02,Монголия
101,Пахомова,Павел,Евсеевич,1964-10-04,Фиджи
102,Тетерин,Владилен,Феодосьевич,1945-04-29,Литва
103,Белов,Рюрик,Артёмович,1957-03-19,Киргизия
104,Зыков,Вениамин,Антонович,1926-10-14,Мавритания
105,Миронова,Станимир,Харлампович,1947-04-11,Гайана
106,Игнатьева,Ладислав,Алексеевна,1958-12-31,Панама
107,Константинов,Владимир,Матвеевна,1968-08-17,Украина
108,Мясников,Азарий,Ильинична,1908-06-23,Венесуэла
109,Романов,Карп,Никифоровна,1921-04-01,Демократическая Республика Конго
110,Жукова,Константин,Жоресович,2010-05-15,Венесуэла
111,Вишнякова,Василий,Ефимовна,1933-05-21,Испания
112,Сазонова,Митофан,Федосеевич,1992-03-17,Австрия
113,Самойлова,Любомир,Виленович,1981-06-06,Нигерия
114,Никитин,Сергей,Ильич,1968-09-30,Франция
115,Анисимова,Ульяна,Арсенович,1914-03-20,Таджикистан
116,Дьячкова,Радислав,Алексеевна,1933-10-11,Албания
117,Муравьев,Николай,Васильевич,1980-07-06,КНДР
118,Ковалев,Татьяна,Вячеславович,1932-04-06,Науру
119,Лукин,Алина,Антипович,1931-11-03,Замбия
120,Богданов,Филипп,Ниловна,2016-12-18,Словакия
121,Суханов,Селиверст,Сергеевна,1940-04-08,Иордания
122,Михайлова,Светлана,Фомич,1917-04-03,Буркина-Фасо
123,Федосеев,Мария,Федоровна,2021-10-10,Эсватини
124,Семенов,Азарий,Харитонович,1997-03-16,Бельгия
125,Ширяева,Мирослав,Филиппович,1909-07-16,Катар
126,Шубина,Савелий,Феликсовна,1987-10-19,Вьетнам
127,Прохоров,Роман,Ильясович,1980-06-14,Тувалу
128,Фомина,Назар,Валентинович,2017-05-21,Мальта
129,Карпова,Михей,Геннадиевич,1996-01-29,Республика Конго
130,Евдокимова,Нина,Давыдович,1980-01-24,Исландия
131,Носкова,Измаил,Аркадьевна,1945-11-23,Маршалловы Острова
132,Терентьева,Болеслав,Жанович,1941-11-22,Латвия
133,Петрова,Юрий,Тихонович,1950-08-22,Буркина-Фасо
134,Михайлова,Пров,Львовна,1964-08-29,Канада
135,Голубева,Галактион,Юльевич,1913-09-15,Уганда
136,Филатова,Варфоломей,Феофанович,1962-03-20,Гренада
137,Волкова,Софрон,Захаровна,1920-12-21,Самоа
138,Брагина,Сидор,Ефимович,2008-06-15,Иран
139,Григорьева,Нина,Елисеевич,1956-02-25,Панама
140,Сысоева,Филарет,Тимофеевна,2006-06-01,Камбоджа
141,Логинова,Милан,Болеславовна,1967-10-21,Мадагаскар
142,Фомина,Яков,Герасимович,1933-10-21,Чехия
143,Крылов,Михаил,Дмитриевна,1919-05-03,Малайзия
144,Гущин,Елизар,Егоровна,2008-06-18,Гватемала
145,Логинов,Элеонора,Натановна,1971-08-19,Южный Судан
146,Дроздова,Денис,Демьянович,2011-05-03,Оман
147,Игнатьева,Ратибор,Елизарович,1916-09-24,Багамские Острова
148,Орлов,Евгения,Степановна,2004-11-25,Австралия
149,Мишина,Нестор,Изотович,1992-05-14,Монголия
150,Щукина,Олег,Ефимьевич,1976-07-04,Великобритания
151,Никифорова,Харитон,Викентьевич,1999-06-09,Молдавия
152,Одинцов,Евсей,Геннадиевна,1928-12-28,Индонезия
153,Филатова,Фотий,Витальевич,1941-12-09,Гвинея-Бисау
154,Быков,Святополк,Изотович,1948-03-11,Норвегия
155,Емельянов,Анастасия,Евсеевич,1999-05-31,Бельгия
156,Никитин,Алла,Антоновна,1938-09-18,Мали
157,Лихачева,Кирилл,Макаровна,2010-08-17,Болгария
158,Горбунов,Вера,Зиновьевич,1915-03-17,Оман
159,Кошелева,Боян,Аркадьевна,1948-02-10,Оман
160,Кудрявцева,Потап,Анатольевна,1964-10-23,Пакистан
161,Власова,Аристарх,Николаевна,1981-09-11,Швейцария
162,Якушев,Евграф,Филимонович,1965-05-30,Гондурас
163,Большаков,Осип,Егорович,2017-06-29,Бруней
164,Исаев,Алина,Игнатьевич,1972-11-12,Белоруссия
165,Русаков,Сократ,Федосьевич,1979-06-02,Буркина-Фасо
166,Лыткин,Екатерина,Ярославович,1973-04-13,Сан-Марино
167,Исаева,Лонгин,Чеславович,2012-05-12,Словения
168,Захарова,Борислав,Германович,1964-05-23,Нидерланды
169,Лапин,Регина,Феликсович,1913-10-23,Ботсвана
170,Алексеев,Никита,Харитонович,1981-03-22,Бурунди
171,Шаров,Глафира,Анатольевич,1919-06-16,США
172,Степанова,Мартын,Исидорович,1975-05-12,Эсватини
173,Жданова,Никита,Валериевна,1985-09-26,Грузия
174,Миронов,Маргарита,Федоровна,1912-10-20,Иордания
175,Потапова,Анна,Павловна,1994-08-31,Венгрия
176,Дементьев,Кондратий,Михайловна,1912-02-18,Соломоновы Острова
177,Исаев,Трофим,Ермилович,1957-09-16,Демократическая Республика Конго
178,Лукин,Святополк,Евстигнеевич,2003-03-31,Греция
179,Лебедева,Каллистрат,Робертовна,1990-11-29,Буркина-Фасо
180,Куликова,Лукия,Тарасовна,1945-03-13,Финляндия
181,Миронов,Максим,Владиленович,1932-03-14,Швеция
182,Павлова,Иванна,Федосьевич,1990-11-05,Йемен
183,Давыдова,Элеонора,Денисович,1911-01-13,Великобритания
184,Воронова,Ратибор,Афанасьевич,1909-01-06,Казахстан
185,Васильев,Октябрина,Алексеевич,1946-11-28,Монако
186,Герасимова,Тамара,Степановна,2015-08-25,Парагвай
187,Морозова,Филипп,Ерофеевич,1913-07-27,Кипр
188,Данилова,Авксентий,Борисович,1909-12-09,Кабо-Верде
189,Королев,Якуб,Гертрудович,1988-04-22,Испания
190,Мартынов,Максимильян,Оскаровна,1927-06-02,Саудовская Аравия
191,Ларионова,Никандр,Альбертовна,1988-03-23,Бруней
192,Фролов,Харлампий,Ааронович,1936-05-27,Грузия
193,Комарова,Милица,Феликсович,1949-07-23,Бразилия
194,Сазонов,Феврония,Петровна,1933-07-10,Гватемала
195,Большакова,Спиридон,Евсеевич,1984-04-30,Чили
196,Лукина,Василиса,Ивановна,1945-07-13,Таиланд
197,Воронцова,Радим,Викторович,2006-04-02,Руанда
198,Рожков,Макар,Кирилловна,2015-11-07,Багамские Острова
199,Дьячкова,Остап,Болеславовна,1911-10-17,Тувалу
200,Сысоев,Изяслав,Богданович,2021-09-25,Ямайка
201,Евсеева,Яков,Святославовна,1908-01-23,Лаос
202,Ершова,Ермолай,Геннадьевна,2003-09-19,Тувалу
203,Федосеев,Клавдия,Леонидовна,2016-02-25,Мавритания
204,Кондратьев,Стоян,Власович,1980-10-02,Марокко
205,Соловьев,Вышеслав,Еремеевич,2000-10-24,Самоа
206,Дроздова,Зиновий,Евсеевич,1907-12-08,Испания
207,Юдина,Исидор,Гордеевич,1946-10-03,Северная Македония
208,Ситникова,Виктор,Глебович,1936-12-08,Кот-д’Ивуар
209,Мясников,Милица,Адамович,1939-06-30,Палау
210,Дьячков,Никодим,Леонидовна,1937-04-11,Канада
211,Суханов,Ерофей,Фомич,2004-06-13,Марокко
212,Воронцов,Нина,Святославовна,1928-05-02,Испания
213,Гурьев,Кирилл,Филимонович,1957-03-22,Эфиопия
214,Вишняков,Корнил,Устинович,2007-07-01,Япония
215,Соболева,Прокофий,Эльдаровна,1920-01-31,Эритрея
216,Григорьев,Аверкий,Федосьевич,2006-05-19,Ирак
217,Носкова,Синклитикия,Филатович,1940-08-16,Афганистан
218,Иванов,Елизавета,Богданович,1991-12-01,КНДР
219,Лебедева,Изяслав,Федосьевич,1976-05-05,Босния и Герцеговина
220,Копылов,Зосима,Васильевич,1992-06-06,Коморы
221,Яковлев,Эммануил,Валериевна,1930-11-12,Кипр
222,Панова,Алина,Рудольфовна,2008-07-22,Гренада
223,Быкова,Мефодий,Вячеславович,1993-04-01,Коста-Рика
224,Егоров,Всемил,Бориславович,1953-12-07,Буркина-Фасо
225,Нестеров,Виктория,Антонович,2004-09-29,Камерун
226,Павлов,Яков,Игоревич,2016-11-06,Коморы
227,Буров,Василий,Трофимович,1911-03-16,Перу
228,Тихонова,Петр,Иларионович,1956-06-05,Шри-Ланка
229,Лобанова,Осип,Вадимовна,2000-12-09,Египет
230,Суханова,Вера,Альбертовна,1938-10-27,Гватемала
231,Морозова,Антонина,Никифоровна,1956-01-28,Эсватини
232,Кудрявцева,Зинаида,Георгиевна,1962-08-05,Тувалу
233,Дементьева,Арсений,Еремеевич,1948-11-22,Палау
234,Кондратьева,Аггей,Богданович,1974-10-21,Камбоджа
235,Копылов,Вениамин,Артёмович,2000-02-27,Гондурас
236,Бирюкова,Милица,Жанович,1930-09-03,Чили
237,Зуев,Вадим,Ефимович,1931-07-09,Греция
238,Кондратьев,Елисей,Данилович,1916-02-29,Южный Судан
239,Лукин,Тимофей,Ануфриевич,1939-12-26,Лихтенштейн
240,Чернова,Дементий,Вячеславович,1921-04-02,Кения
241,Фролова,Елисей,Ануфриевич,2021-05-07,Уганда
242,Зуева,Ярополк,Григорьевич,1937-06-27,Камерун
243,Голубев,Денис,Якубович,1980-07-12,Белоруссия
244,Новиков,Мартьян,Михайловна,1993-07-04,Сирия
245,Фролов,Мирон,Владиславович,1915-09-21,Демократическая Республика Конго
246,Красильникова,Симон,Фокич,1977-01-28,Андорра
247,Соколов,Казимир,Федосьевич,1973-04-09,Ангола
248,Суханова,Фёкла,Константиновна,1949-06-18,Венесуэла
249,Доронин,Митофан,Ермолаевич,1951-02-09,Молдавия
250,Владимиров,Денис,Гертрудович,1911-04-08,Туркмения
251,Горбачева,Пелагея,Еремеевич,1990-09-12,Соломоновы Острова
252,Петрова,Тимофей,Владиславовна,2008-12-27,Украина
253,Кириллова,Давыд,Сергеевна,1962-11-03,Танзания
254,Миронов,Милан,Богдановна,1951-02-08,Мадагаскар
255,Елисеева,Мина,Владимировна,2017-02-20,Демократическая Республика Конго
256,Ермаков,Мокей,Ануфриевич,1993-10-20,Пакистан
257,Пономарева,Антонина,Иосипович,1970-01-23,Бутан
258,Савин,Мария,Павловна,2021-02-07,Гаити
259,Самойлов,Таисия,Дорофеевич,2001-01-29,Кабо-Верде
260,Галкина,Трифон,Евсеевич,2016-04-27,Белиз
261,Калинина,Жанна,Егоровна,1953-02-21,Израиль
262,Рыбаков,Куприян,Олеговна,1989-08-11,Науру
263,Егорова,Влас,Ануфриевич,1935-11-29,Катар
264,Блохин,Радим,Бориславович,1988-06-25,Индия
265,Шилов,Ладимир,Наумовна,1950-05-12,Катар
266,Яковлев,Вадим,Павловна,1963-12-07,Чили
267,Дьячкова,Август,Борисовна,1931-12-16,Панама
268,Ефимова,Назар,Зиновьевич,2002-04-17,Камерун
269,Игнатьева,Феофан,Федосьевич,1952-08-15,Камерун
270,Сергеев,Лазарь,Фомич,1912-12-15,Чили
271,Куликова,Емельян,Егорович,1921-08-31,Папуа
272,Костин,Макар,Рудольфовна,1999-10-09,Украина
273,Воронова,Амос,Ааронович,2001-11-21,Австрия
274,Кудряшова,Сократ,Богдановна,1985-07-15,Азербайджан
275,Тимофеев,Анжела,Германович,2010-12-24,Палау
276,Самойлова,Спиридон,Даниловна,1930-06-25,Люксембург
277,Сидоров,Таисия,Артёмович,1927-07-10,Бутан
278,Куликов,Сергей,Артурович,1971-05-05,Кирибати
279,Иванов,Лаврентий,Антипович,1979-07-10,Египет
280,Анисимова,Радован,Димитриевич,1990-12-15,Доминиканская Республика
281,Маркова,Амвросий,Егоровна,1933-12-10,Франция
282,Филиппова,Филимон,Ильясович,2005-03-11,Восточный Тимор
283,Романова,Максим,Никифоровна,1909-05-01,Гана
284,Федосеев,Яков,Ермилович,1965-04-24,Шри-Ланка
285,Котова,Мария,Геннадьевна,2004-04-26,Белоруссия
286,Никифорова,Зоя,Аскольдовна,2019-08-10,Лаос
287,Афанасьев,Аникита,Валерианович,1957-04-29,Нигер
288,Русаков,Самсон,Демидович,1957-03-07,Сейшельские Острова
289,Воробьев,Ювеналий,Ярославович,1942-01-08,Коморы
290,Харитонов,Поликарп,Матвеевна,1971-05-25,Казахстан
291,Ершова,Казимир,Викентьевич,2008-05-22,Эфиопия
292,Большаков,Елизар,Антонович,1998-03-12,Германия
293,Шарапов,Олимпий,Васильевна,1978-09-21,Таджикистан
294,Миронов,Варфоломей,Владленович,1942-02-25,Никарагуа
295,Козлова,Радим,Ждановна,1954-01-13,Гайана
296,Якушев,Татьяна,Владиславовна,1934-07-14,Азербайджан
297,Шаров,Устин,Григорьевна,1981-11-12,Бангладеш
298,Волков,Викентий,Игнатович,1999-03-29,Науру
299,Голубев,Пантелеймон,Николаевна,1945-06-22,Бразилия
300,Гордеева,Флорентин,Абрамович,1988-04-12,Центральноафриканская Республика
301,Мухин,Иван,Викентьевич,1937-08-07,Греция
302,Максимова,Исидор,Артёмович,1952-01-31,Лаос
303,Авдеев,Дарья,Венедиктович,2006-06-22,Соломоновы Острова
304,Наумова,Исидор,Борисович,1985-05-22,Австрия
305,Романов,Любовь,Антонович,1969-04-17,Танзания
306,Логинов,Иванна,Артемовна,1991-03-05,Руанда
307,Назарова,Жанна,Фёдорович,1913-06-25,Замбия
308,Комаров,Сила,Алексеевна,2001-05-28,Того
309,Гурьева,Порфирий,Робертовна,1993-04-03,Восточный Тимор
310,Третьякова,Исай,Антонович,2016-07-05,Гренада
311,Беляева,Агата,Фадеевич,2019-12-07,Мадагаскар
312,Мясников,Казимир,Ждановна,1921-10-04,Руанда
313,Харитонов,Михаил,Жанович,2003-11-04,Демократическая Республика Конго
314,Боброва,Тарас,Тимурович,2004-04-05,США
315,Кабанов,Леон,Тимофеевна,1915-05-20,ЮАР
316,Ковалева,Раиса,Максимовна,1920-12-30,Китай
317,Костина,Лидия,Дмитриевич,1953-08-07,Доминиканская Республика
318,Громова,Софон,Герасимович,2013-07-30,Сент-Люсия
319,Куликов,Ефрем,Тихонович,2015-12-23,Панама
320,Копылова,Панкратий,Гертрудович,1933-04-11,Сейшельские Острова
321,Щербакова,Пантелеймон,Чеславович,1942-07-17,Бельгия
322,Белякова,Севастьян,Дорофеевич,1940-07-30,Либерия
323,Дьячков,Остап,Николаевна,1976-11-23,Марокко
324,Давыдова,Василий,Владимировна,1979-06-07,Франция
325,Никонова,Вышеслав,Олеговна,2011-12-26,Либерия
326,Капустин,Леон,Гордеевич,1942-01-16,Камбоджа
327,Капустин,Раиса,Адамович,1912-09-17,Джибути
328,Федорова,Игорь,Димитриевич,1997-01-31,Саудовская Аравия
329,Евдокимов,Виталий,Фомич,1955-08-19,Польша
330,Комаров,Милован,Глебович,1935-02-22,Вьетнам
331,Фролов,Поликарп,Борисовна,1949-04-19,Коста-Рика
332,Ершов,Ираида,Борисович,1911-01-22,Афганистан
333,Веселова,Твердислав,Антипович,2006-06-06,Иран
334,Дорофеева,Амвросий,Терентьевич,1939-11-03,Замбия
335,Яковлев,Сила,Кузьминична,2020-10-02,Ирак
336,Миронова,Гаврила,Александровна,1932-04-16,Коморы
337,Белова,Захар,Захаровна,2014-04-11,Мадагаскар
338,Иванова,Фёкла,Александрович,1914-09-10,Словения
339,Третьякова,Фрол,Петровна,1982-10-05,Коста-Рика
340,Молчанов,Чеслав,Адрианович,1949-04-03,Германия
341,Романов,Остромир,Кузьминична,1921-11-02,Алжир
342,Родионов,Поликарп,Жанович,2017-07-31,Сербия
343,Самсонов,Дмитрий,Власович,1994-05-31,Замбия
344,Воробьева,Самсон,Иосифович,1945-04-04,Маврикий
345,Белова,Юрий,Даниилович,2012-02-18,Дания
346,Субботин,Ирина,Эдгардович,1956-06-25,Эквадор
347,Журавлева,Агафья,Жанович,1925-07-12,Перу
348,Якушева,Геннадий,Альбертовна,2003-04-22,Зимбабве
349,Лобанова,Сократ,Владиленович,1943-09-01,Италия
350,Александров,Иосиф,Евстигнеевич,1951-10-23,Казахстан
351,Гаврилов,Остромир,Юльевич,1908-02-11,Непал
352,Кошелева,Демьян,Теймуразович,1953-06-17,Бангладеш
353,Сергеева,Людмила,Жанович,1968-12-09,Йемен
354,Сазонова,Капитон,Ермолаевич,1928-10-22,Того
355,Устинова,Лазарь,Семеновна,1987-05-17,Бутан
356,Игнатьев,Святополк,Филимонович,1938-08-18,Демократическая Республика Конго
357,Громов,Георгий,Ефимьевич,1923-10-29,Норвегия
358,Мельников,Никандр,Альбертовна,1947-04-24,Нигерия
359,Кузнецова,Аполлон,Гордеевич,1921-09-26,Сенегал
360,Ефимова,Нестор,Кузьминична,1958-04-08,Сенегал
361,Петухова,Аскольд,Валерьянович,1909-10-16,Туркмения
362,Котова,Илья,Андреевич,1961-12-19,Самоа
363,Бурова,Любомир,Андреевич,1932-02-06,Тринидад и Тобаго
364,Марков,Фока,Валерианович,1939-01-18,Руанда
365,Шарапов,Антип,Феоктистович,1943-03-19,Эритрея
366,Юдина,Иванна,Фомич,2005-09-19,Иран
367,Титова,Феоктист,Мироновна,1985-01-24,Белоруссия
368,Савин,Артемий,Трифонович,1947-02-05,Сомали
369,Ефремова,Тимофей,Демидович,1980-08-13,Гондурас
370,Фадеев,Ираида,Николаевна,1988-06-11,Перу
371,Баранова,Зосима,Афанасьевич,1983-04-14,Афганистан
372,Мясникова,Матвей,Эдуардовна,1914-05-05,Мали
373,Комарова,Афанасий,Филимонович,1943-02-23,Китай
374,Ефремова,Олимпиада,Данилович,2017-07-26,Фиджи
375,Терентьева,Фортунат,Изотович,1920-08-07,Греция
376,Сорокина,Агафон,Эдгардович,2015-04-21,Фиджи
377,Князев,Михей,Харитонович,1921-11-07,Панама
378,Лаврентьева,Ерофей,Геннадьевна,1909-04-27,США
379,Лазарев,Родион,Феодосьевич,2012-06-19,Грузия
380,Лихачева,Святополк,Елизарович,1928-06-09,Мальта
381,Кулагина,Иван,Евстигнеевич,2020-04-07,Ангола
382,Гришина,Фаина,Валентиновна,1938-08-29,Эквадор
383,Вишнякова,Любомир,Фёдорович,1995-01-04,Индонезия
384,Костин,Кондрат,Павловна,1957-08-01,Сальвадор
385,Алексеев,Федосий,Федотович,1945-11-24,Гондурас
386,Быкова,Любовь,Еремеевич,2014-11-21,Иран
387,Кулагина,Фёкла,Ефимьевич,1960-11-15,Молдавия
388,Данилова,Пров,Бенедиктович,1959-02-02,Грузия
389,Ларионов,Любовь,Яковлевич,1925-12-05,Пакистан
390,Пестова,Эммануил,Кузьминична,1907-12-16,Куба
391,Шубин,Ксения,Руслановна,2020-07-14,Италия
392,Субботина,Мартын,Ааронович,1958-02-18,Бахрейн
393,Федосеев,Савва,Антипович,1942-12-27,Исландия
394,Маслов,Афиноген,Владиславович,2021-03-04,Эритрея
395,Щербакова,Милица,Антонович,1962-05-30,Камерун
396,Александров,Владимир,Фадеевич,1943-01-18,Руанда
397,Савельев,Гаврила,Макаровна,1965-01-15,Гондурас
398,Беспалов,Сильвестр,Валерианович,2000-02-01,Канада
399,Уваров,Амос,Богдановна,2007-04-11,Аргентина
400,Уваров,Иларион,Оскаровна,2006-05-30,Сербия
401,Михеева,Екатерина,Харитоновна,1947-09-29,Панама
402,Константинова,Герасим,Бенедиктович,2015-12-02,Индия
403,Костин,Осип,Иосифович,1993-02-23,Руанда
404,Мамонтов,Олимпиада,Артемовна,1920-05-23,Кирибати
405,Жукова,Исидор,Всеволодович,1954-03-06,Парагвай
406,Максимов,Нина,Тимуровна,1927-03-14,Афганистан
407,Князев,Милован,Евсеевич,1917-05-20,Мьянма
408,Горбунов,Эммануил,Геннадиевич,2012-09-29,Сальвадор
409,Казакова,Аникита,Егоровна,1945-06-19,Дания
410,Воронов,Изяслав,Георгиевна,1924-06-07,Бутан
411,Кононова,Савелий,Кирилловна,1969-05-06,Таджикистан
412,Молчанова,Иванна,Ильич,1915-01-10,Мозамбик
413,Максимова,Вышеслав,Валерианович,1907-10-23,Индия
414,Фомина,Сильвестр,Валерьевич,1970-05-04,Маршалловы Острова
415,Блинов,Аверьян,Августович,1981-12-16,Мексика
416,Самсонова,Елисей,Юлианович,1912-08-14,Дания
417,Попова,Сидор,Георгиевна,1994-06-25,Венесуэла
418,Николаев,Конон,Ефстафьевич,1960-03-05,Гвинея-Бисау
419,Шестакова,Авдей,Измаилович,1985-01-12,Гренада
420,Дорофеева,Максимильян,Изотович,2015-05-21,Алжир
421,Рябов,Лаврентий,Кузьминична,1920-04-27,Исландия
422,Ларионова,Роман,Исидорович,1977-04-12,Мадагаскар
423,Журавлев,Светозар,Ануфриевич,2000-10-17,Черногория
424,Костина,Никодим,Макаровна,2021-05-20,Иордания
425,Беляков,Дмитрий,Анатольевич,1908-04-23,Оман
426,Артемьев,Потап,Трофимович,2011-11-11,Болгария
427,Васильев,Потап,Максимовна,1958-07-28,Либерия
428,Сысоева,Аркадий,Юльевна,1915-06-07,Зимбабве
429,Матвеев,Вадим,Юлианович,1980-01-30,Румыния
430,Суханова,Мир,Еремеевич,1990-07-01,Сент-Люсия
431,Петухова,Авксентий,Максимовна,1994-08-14,Намибия
432,Туров,Ульяна,Вениаминовна,1939-02-20,Малайзия
433,Зайцева,Леон,Адамович,2014-01-27,США
434,Устинов,Модест,Харламович,1921-07-08,Нигерия
435,Савин,Кирилл,Иосипович,1915-08-27,Ямайка
436,Васильева,Кондрат,Августович,2011-06-29,Ангола
437,Большаков,Федосий,Адамович,1945-07-19,Филиппины
438,Белякова,Эдуард,Гертрудович,1935-04-10,Непал
439,Максимова,Борис,Измаилович,1920-09-24,Доминика
