id,lastname,firstname,middlename,birthday,card_id
189,Осипов,Денис,Игнатьевич,1993-05-04,189
190,Дроздов,Любовь,Власович,1997-04-19,190
191,Колобова,Борис,Виленович,1976-01-19,191
192,Нестеров,Лариса,Георгиевна,1935-09-06,192
193,Сергеева,Фаина,Леонидовна,2022-01-03,193
194,Сергеев,Велимир,Романовна,1944-08-18,194
195,Красильникова,Мартын,Харлампович,2012-01-05,195
196,Костин,Елена,Алексеевич,1914-05-26,196
197,Турова,Ратибор,Харлампович,1958-04-24,197
198,Зимин,Афанасий,Денисович,1931-01-27,198
199,Елисеев,Валерия,Эльдаровна,1946-03-03,199
200,Мухин,Кондрат,Андреевич,1963-07-28,200
201,Антонов,Трофим,Денисович,1943-08-11,201
202,Сорокин,Велимир,Валерьевич,1948-03-06,202
203,Горбачев,Руслан,Ильич,1931-01-21,203
204,Егоров,Прокл,Максимовна,1945-07-03,204
205,Козлова,Матвей,Исидорович,1979-10-19,205
206,Журавлев,Никандр,Фадеевич,1911-01-04,206
207,Дьячков,Лукия,Александрович,2012-06-15,207
208,Кабанов,Терентий,Ермолаевич,2007-12-03,208
209,Гусева,Тихон,Феоктистович,1912-06-30,209
210,Блохина,Гостомысл,Еремеевич,1960-12-03,210
211,Никонов,Любим,Арсенович,1936-07-13,211
212,Рожков,Лучезар,Иларионович,1939-06-29,212
213,Киселев,Евфросиния,Денисович,1977-09-19,213
214,Титова,Евстафий,Игоревич,1959-05-23,214
215,Нестеров,Тамара,Валерианович,1907-11-14,215
216,Муравьев,Прохор,Ефимовна,1949-01-12,216
217,Сазонова,Прокофий,Макаровна,1988-02-13,217
218,Артемьева,Наталья,Семеновна,2007-06-06,218
219,Сергеева,Алина,Исидорович,1958-03-15,219
220,Нестеров,Валерия,Натановна,1946-02-02,220
221,Якушев,Никанор,Измаилович,1979-05-04,221
222,Аксенова,Элеонора,Измаилович,1925-02-02,222
223,Филатова,Христофор,Георгиевич,1950-11-28,223
224,Максимов,Синклитикия,Димитриевич,1971-05-06,224
225,Гаврилова,Василиса,Бориславович,2013-04-04,225
226,Лукин,Гедеон,Сергеевна,1907-01-22,226
227,Орехов,Ярослав,Афанасьевна,1932-03-09,227
228,Пономарев,София,Львовна,1969-02-12,228
229,Жуков,Святослав,Эдуардовна,1916-04-24,229
230,Соловьев,Мирон,Тарасовна,1990-06-02,230
231,Зуев,Дементий,Германович,1923-12-19,231
232,Котова,Филимон,Захарьевич,1915-11-15,232
233,Гущин,Акулина,Авдеевич,1925-04-12,233
234,Куликова,Мирон,Оскаровна,2017-03-01,234
235,Емельянов,Гаврила,Тимуровна,1983-10-06,235
236,Третьяков,Эмиль,Ильясович,1943-03-19,236
237,Зиновьев,Василий,Владиленович,1940-01-13,237
238,Калинина,Евстафий,Елисеевич,2020-10-14,238
239,Фомина,Фадей,Елизарович,1977-06-23,239
240,Боброва,Елена,Федоровна,1930-04-25,240
241,Новикова,Юлий,Брониславович,2015-12-13,241
242,Дьячков,Лора,Арсенович,1958-03-17,242
243,Фомина,Митофан,Власович,1977-06-12,243
244,Веселов,Максимильян,Бориславович,1980-09-20,244
245,Маркова,Исай,Юльевна,1922-12-05,245
246,Комаров,Агата,Кузьминична,1935-03-30,246
247,Антонов,Вадим,Аверьянович,2022-09-30,247
248,Кузнецова,Виктор,Федоровна,1987-07-24,248
249,Никитина,Изяслав,Николаевна,1920-08-18,249
250,Селиверстов,Симон,Рудольфовна,1929-11-14,250
251,Гаврилова,Милица,Иларионович,1972-11-19,251
252,Мартынова,Мирослав,Дмитриевна,1916-04-16,252
253,Киселев,Ладислав,Вениаминовна,1910-01-14,253
254,Никитина,Осип,Дмитриевна,1924-02-14,254
255,Веселов,Панкрат,Филимонович,2018-09-14,255
256,Крылов,Макар,Юльевна,1927-09-16,256
257,Крюков,Арефий,Эдгардович,1977-10-23,257
258,Устинов,Феврония,Юрьевна,1993-09-15,258
259,Блохин,Исай,Ивановна,1908-06-03,259
260,Аксенов,Эдуард,Геннадьевна,1977-02-10,260
261,Ильин,Эмиль,Зиновьевич,1917-06-08,261
262,Максимов,Ираида,Харлампьевич,2011-01-30,262
263,Герасимова,Юлиан,Артурович,1924-06-24,263
264,Цветков,Тимофей,Максимовна,1977-11-22,264
265,Бобров,Евпраксия,Максимовна,1986-02-02,265
266,Антонова,Куприян,Аркадьевна,1955-02-09,266
267,Капустин,Феликс,Якубович,1999-12-10,267
268,Симонов,Эмилия,Макаровна,1989-07-31,268
269,Лукина,Олег,Харлампович,1954-02-05,269
270,Ефремова,Зиновий,Ааронович,2018-03-05,270
271,Стрелков,Зоя,Жанович,1916-01-07,271
272,Селезнев,Пров,Леоновна,1971-12-19,272
273,Филатов,Герман,Сергеевна,1990-05-04,273
274,Фомичева,Ким,Антоновна,2005-12-15,274
275,Туров,Глафира,Филатович,1989-07-22,275
276,Потапов,Ермолай,Дмитриевич,1973-02-03,276
277,Субботин,Аполлон,Федоровна,1995-09-19,277
278,Иванова,Изяслав,Теймуразович,1942-06-21,278
279,Овчинников,Максимильян,Адрианович,1951-07-22,279
280,Горбунова,Борислав,Харлампьевич,1952-05-28,280
281,Лукин,Мария,Алексеевна,2003-06-28,281
282,Самойлова,Артемий,Елизарович,1946-11-15,282
283,Волкова,Силантий,Игоревич,1990-03-14,283
284,Евсеев,Марина,Робертовна,2001-11-21,284
285,Галкина,Казимир,Феоктистович,1948-01-09,285
286,Калинина,Мария,Владиленович,1957-09-12,286
287,Игнатов,Тит,Макаровна,1945-09-12,287
288,Гришин,Максимильян,Николаевна,1944-03-13,288
289,Некрасова,Евпраксия,Архиповна,2022-01-17,289
290,Зыков,Вышеслав,Константиновна,1931-03-22,290
291,Петухов,Василий,Борисович,1947-02-08,291
292,Сергеев,Татьяна,Юлианович,1961-12-30,292
293,Воронова,Зинаида,Филипповна,2003-10-15,293
294,Селезнев,Андроник,Валерианович,2017-09-05,294
295,Васильев,Сидор,Семеновна,1924-08-14,295
296,Родионова,Спартак,Терентьевич,1976-03-25,296
297,Максимов,Евдокия,Трофимович,1961-06-04,297
298,Денисов,Осип,Якубович,1942-05-18,298
299,Дмитриев,Наум,Макаровна,2012-10-07,299
300,Савина,Ираклий,Георгиевич,1933-06-16,300
301,Лазарев,Иннокентий,Харитоновна,2014-02-10,301
302,Баранова,Игорь,Юлианович,1987-08-18,302
303,Ширяев,Екатерина,Архипович,1913-03-08,303
304,Пахомова,Герман,Денисович,1956-11-28,304
305,Макарова,Потап,Еремеевич,2021-12-11,305
306,Максимов,Гремислав,Ануфриевич,1908-03-30,306
307,Белозерова,Афиноген,Жанович,1913-01-28,307
308,Мясникова,Светозар,Оскаровна,1917-03-17,308
309,Мишина,Федор,Федоровна,1962-07-02,309
310,Киселева,Аркадий,Вячеславовна,1927-06-05,310
311,Архипов,Радим,Елизарович,1918-08-07,311
312,Антонов,Евсей,Евгеньевна,1921-06-20,312
313,Лихачев,Мариан,Филипповна,1966-08-05,313
314,Зыков,Лазарь,Всеволодович,2012-10-16,314
315,Давыдова,Надежда,Кузьминична,1926-06-23,315
316,Фролов,Зиновий,Харлампьевич,1937-12-16,316
317,Орлов,Василиса,Герасимович,1978-01-09,317
318,Галкина,Федор,Кузьминична,1973-11-18,318
319,Гришина,Епифан,Адрианович,2007-10-04,319
320,Богданова,Харитон,Романовна,1996-08-04,320
321,Уваров,Василий,Витальевич,1944-09-02,321
322,Князева,Василиса,Владиславовна,1948-02-01,322
323,Лаврентьев,Панфил,Степановна,1983-03-13,323
324,Воронцов,Дмитрий,Филипповна,1999-07-17,324
325,Муравьев,Автоном,Фокич,1978-11-29,325
326,Колобов,Арсений,Давидович,1986-07-14,326
327,Яковлев,Аскольд,Ильинична,1927-03-01,327
328,Коновалов,Лавр,Игоревич,1969-09-24,328
329,Молчанова,Фирс,Вениаминовна,2015-02-15,329
330,Комарова,Ювеналий,Харитоновна,1953-05-21,330
331,Котов,Симон,Георгиевич,1969-03-05,331
332,Миронова,Ладимир,Тимурович,1941-06-26,332
333,Анисимов,Раиса,Измаилович,1957-12-17,333
334,Титова,Милица,Антоновна,1923-08-20,334
335,Филатов,Потап,Владиленович,2006-06-14,335
336,Кудрявцева,Панкрат,Эдгардович,2014-07-25,336
337,Вишняков,Христофор,Бориславович,1990-10-23,337
338,Марков,Аггей,Вилорович,1946-06-12,338
339,Степанова,Акулина,Семеновна,1908-05-12,339
340,Романов,Владислав,Измаилович,1941-10-29,340
341,Кононов,Мокей,Эдгарович,1975-11-06,341
342,Сорокина,Демид,Захарьевич,2009-08-19,342
343,Калашников,Вадим,Алексеевич,1950-01-31,343
344,Дмитриева,Платон,Филатович,2013-09-17,344
345,Муравьева,Ираклий,Романовна,1957-02-24,345
346,Лыткин,Доброслав,Еремеевич,1916-06-06,346
347,Крюкова,Остап,Арсенович,1987-03-06,347
348,Вишняков,Карп,Ждановна,1916-10-27,348
349,Голубева,Полина,Феодосьевич,1915-09-27,349
350,Филатов,Панкратий,Феоктистович,1992-07-23,350
351,Веселов,Денис,Борисович,2011-06-20,351
352,Дмитриев,Дорофей,Викторовна,1940-01-30,352
353,Новикова,Милан,Андреевна,1915-08-04,353
354,Семенов,Велимир,Ермолаевич,2016-01-21,354
355,Воронцова,Лора,Егорович,1914-07-11,355
356,Кошелева,Капитон,Андреевна,2012-02-27,356
357,Самсонов,Святополк,Иосифович,1950-09-03,357
358,Лобанов,Александр,Денисович,1943-11-07,358
359,Туров,Ефим,Эдуардович,2018-07-21,359
360,Никифоров,Федот,Валериевна,1934-03-24,360
361,Журавлев,Агап,Харитонович,1966-08-22,361
362,Волков,Харитон,Харламович,1917-12-20,362
363,Воронова,Орест,Жанович,1933-09-19,363
364,Воробьев,Ананий,Харлампович,2015-08-26,364
365,Большакова,Алла,Ильинична,2011-04-05,365
366,Чернов,Прокл,Станиславовна,1917-10-27,366
367,Кулагин,Илья,Антипович,1946-12-18,367
368,Осипова,Нинель,Ерофеевич,1997-12-17,368
369,Петухова,Парфен,Оскаровна,2021-05-17,369
370,Гурьева,Селиван,Антоновна,2004-09-18,370
371,Кошелева,Панфил,Викентьевич,1997-11-04,371
372,Мельников,Онуфрий,Леонидовна,1962-09-11,372
373,Никифоров,Наталья,Владиславовна,1986-09-07,373
374,Суханова,Радим,Эльдаровна,1924-07-08,374
375,Овчинникова,Светлана,Гертрудович,2020-12-30,375
376,Дорофеев,Геннадий,Ерофеевич,2001-10-03,376
377,Владимирова,Елизар,Владленович,2006-06-04,377
378,Федотова,Сильвестр,Викторович,1964-07-30,378
379,Агафонов,Зоя,Станиславовна,2022-05-29,379
380,Боброва,Мартын,Яковлевич,2004-03-21,380
381,Владимирова,Майя,Богданович,1932-07-09,381
382,Григорьев,Кондратий,Захарьевич,1966-08-29,382
383,Захарова,Вероника,Мироновна,1915-10-04,383
384,Бобылева,Синклитикия,Артемьевич,1946-07-28,384
385,Евдокимова,Всемил,Матвеевич,1925-03-17,385
386,Шилова,Харлампий,Фролович,1993-08-18,386
387,Лебедева,Яков,Анисимович,2004-05-18,387
388,Савин,Панфил,Альбертовна,1929-08-17,388
389,Мартынов,Григорий,Валентиновна,1909-01-22,389
390,Вишнякова,Автоном,Всеволодович,2019-04-01,390
391,Савина,Макар,Артёмович,1926-08-19,391
392,Третьяков,Епифан,Вадимовна,1987-10-14,392
393,Новикова,Елизавета,Трофимович,1944-11-21,393
394,Богданов,Евсей,Аксёнович,1937-07-11,394
395,Игнатова,Агап,Валентиновна,1916-11-05,395
396,Щербакова,Василий,Георгиевич,1937-11-27,396
397,Власов,Руслан,Филатович,1920-05-28,397
398,Носков,Гедеон,Анатольевич,2004-03-19,398
399,Дементьев,Харитон,Рубеновна,2022-01-08,399
400,Васильева,Алексей,Зиновьевич,1949-12-18,400
401,Фомина,Рюрик,Бориславович,1991-09-20,401
402,Пестов,Мариан,Федоровна,1983-10-07,402
403,Блохин,Надежда,Венедиктович,1947-03-29,403
404,Некрасова,Сигизмунд,Игоревич,1948-02-16,404
405,Вишняков,Лаврентий,Ааронович,1928-01-20,405
406,Степанова,Порфирий,Адамович,1950-07-16,406
407,Лобанова,Антип,Изотович,1924-04-21,407
408,Силин,Мокей,Егорович,2017-11-08,408
409,Лаврентьев,Феврония,Андреевна,1982-11-22,409
410,Гущина,Любим,Дорофеевич,1909-06-01,410
411,Силина,Полина,Кузьминична,1964-01-24,411
412,Кабанов,Тамара,Ефремович,2015-07-20,412
413,Носкова,Октябрина,Георгиевна,1943-01-03,413
414,Матвеев,Всеслав,Игоревич,1969-12-03,414
415,Гаврилов,Авксентий,Архипович,2006-12-03,415
416,Яковлев,Викторин,Валерьевич,2017-01-29,416
417,Шубин,Эрнест,Жоресович,1963-03-08,417
418,Прохорова,Евфросиния,Юльевич,2013-12-07,418
419,Гаврилова,Боян,Адамович,1975-04-19,419
420,Михеева,Поликарп,Игнатович,2000-10-28,420
421,Гаврилова,Ульяна,Глебович,1960-06-26,421
422,Марков,Глафира,Леоновна,1980-08-21,422
423,Жданова,Варвара,Петровна,1956-07-11,423
424,Якушев,Евстигней,Денисович,1950-04-30,424
425,Родионов,Регина,Чеславович,1914-04-04,425
426,Федосеев,Добромысл,Федотович,1947-05-17,426
427,Соболев,Владилен,Богданович,2004-11-02,427
428,Анисимова,Иосиф,Петровна,1917-06-13,428
429,Медведев,Радим,Мироновна,1993-06-03,429
430,Щукин,Лаврентий,Юльевна,1997-05-10,430
431,Федорова,Лаврентий,Даниилович,1993-11-01,431
432,Калинина,Азарий,Артёмович,1986-04-27,432
433,Кабанов,Ермолай,Тимуровна,1962-04-28,433
434,Уваров,Эраст,Федосеевич,1958-03-08,434
435,Мясникова,Ярополк,Тимурович,2001-12-11,435
436,Молчанова,Севастьян,Анатольевич,1915-09-03,436
437,Сысоев,Севастьян,Ефимович,1996-02-11,437
438,Васильева,Валентина,Адамович,1951-12-18,438
439,Муравьев,Ираида,Степановна,1995-06-06,439
440,Карпов,Синклитикия,Тихонович,2021-10-25,440
441,Давыдова,Ипат,Терентьевич,1943-02-06,441
442,Кудряшова,Агап,Ааронович,2022-08-03,442
443,Осипов,Всеслав,Григорьевич,2010-01-26,443
444,Игнатьева,Валерия,Архиповна,1966-04-22,444
445,Козлова,Ананий,Валерианович,1932-07-28,445
446,Афанасьева,Владилен,Геннадиевна,1955-04-28,446
447,Фокина,Зинаида,Рубеновна,1997-07-21,447
448,Русакова,Дементий,Константиновна,1973-06-22,448
449,Матвеева,Устин,Олеговна,1937-07-13,449
450,Доронин,Гаврила,Игоревна,1966-03-07,450
451,Кошелева,Милица,Александрович,1918-01-06,451
452,Беляев,Азарий,Архиповна,1946-03-30,452
453,Маслов,Филарет,Иосифович,1987-11-12,453
454,Шилов,Фома,Александровна,2000-10-07,454
455,Ситников,Вячеслав,Федосьевич,1984-07-07,455
456,Ларионова,Елизавета,Архиповна,1979-02-23,456
457,Виноградова,Евгений,Бенедиктович,2001-08-20,457
458,Суворова,Парфен,Зиновьевич,1914-06-02,458
459,Зиновьев,Ефим,Власович,1988-06-10,459
460,Муравьев,Фотий,Никифоровна,1952-07-09,460
461,Горшкова,Терентий,Олеговна,1956-06-24,461
462,Ларионова,Кондрат,Иосифович,1950-03-18,462
463,Зиновьева,Андрон,Андреевич,2001-01-26,463
464,Никонов,Борис,Исидорович,1928-07-05,464
465,Горбунова,Феликс,Геннадиевич,1915-02-19,465
466,Ларионова,Виктор,Филатович,2000-09-18,466
467,Котов,Евстафий,Ильясович,2000-08-16,467
468,Харитонов,Остромир,Гавриилович,1919-04-24,468
469,Кудряшов,Федот,Федотович,1947-05-28,469
470,Кулагин,Кира,Юлианович,1917-12-28,470
471,Кабанов,Валерьян,Елисеевич,1940-08-30,471
472,Харитонов,Ерофей,Робертовна,1917-02-16,472
473,Агафонов,Фрол,Васильевич,1952-01-19,473
474,Князев,Якуб,Демидович,1959-02-26,474
475,Мясников,Никон,Фёдорович,1962-06-07,475
476,Игнатьев,Захар,Фёдорович,2015-01-08,476
477,Полякова,Ираклий,Алексеевна,1931-07-26,477
478,Колесников,Изот,Жоресович,2018-08-05,478
479,Маслов,Алевтина,Абрамович,1945-01-18,479
480,Носков,Мирон,Ярославович,1975-05-30,480
481,Герасимов,Нина,Валерьянович,1947-10-02,481
482,Александрова,Викторин,Данилович,2020-01-23,482
483,Елисеев,Владилен,Кузьминична,1951-10-20,483
484,Котова,Никон,Яковлевич,1963-08-17,484
485,Сидоров,Милен,Игоревна,1945-10-21,485
486,Иванов,Конон,Валерьянович,1962-04-27,486
487,Архипова,Давыд,Фролович,1935-04-01,487
488,Котов,Ульян,Германович,1935-06-20,488
489,Беспалов,Гордей,Жанович,1944-08-01,489
490,Нестеров,Эраст,Арсенович,1946-05-12,490
491,Мишина,Василий,Валерьевич,1958-12-07,491
492,Петров,Галактион,Мироновна,1945-07-10,492
493,Вишнякова,Гаврила,Изотович,2000-01-15,493
494,Гуляев,Данила,Иларионович,2001-05-23,494
495,Григорьева,Назар,Трофимович,2018-05-25,495
496,Титова,Викторин,Алексеевич,2015-11-15,496
497,Стрелков,Пимен,Трофимович,1962-11-27,497
498,Брагина,Андрон,Дмитриевна,1963-08-03,498
499,Князев,Ефрем,Григорьевич,1977-03-13,499
500,Прохорова,Кир,Ааронович,1939-12-20,500
501,Павлова,Варфоломей,Валентинович,2004-06-04,501
